sygnatura_czasowa,respondent_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10_koszt,S10_porownanie,S10_brak_info,S10_nieaktualne,S10_kontakt,S11,S12,S13
05.08.2026 10:30,R37,Tak,Wynająłem mieszkanie,Pierwszy w życiu,Otodom;Grupy na Facebooku,10–30,2001–2800 zł,Czynszu dla właściciela plus czynsz administracyjny,"Tak, wielokrotnie","Czynsz administracyjny, którego nie zauważyłem;Media wyższe, niż zakładałem;Kaucja wyższa, niż zakładałem",5,4,5,4,4,,Do 24,"Nie, dziękuję"
05.08.2026 11:05,R38,Tak,Inne: przeprowadziłem się do innego miasta,Trzeci lub kolejny,Otodom;OLX,31–60,2801–3500 zł,Wszystkiego razem z mediami,"Tak, raz lub dwa","Media wyższe, niż zakładałem",3,3,3,4,3,"Uczciwość ogłoszeniodawców, ale to chyba nie kwestia serwisu",35–44,"Nie, dziękuję"
05.08.2026 11:44,R39,Tak,Wynająłem mieszkanie,Drugi,Otodom,10–30,2801–3500 zł,Czynszu dla właściciela plus czynsz administracyjny,"Tak, wielokrotnie","Czynsz administracyjny, którego nie zauważyłem",5,5,4,3,2,sortowanie po cenie z czynszem,25–34,"Nie, dziękuję"
05.08.2026 12:30,R40,Tak,"Zrezygnowałem i zostałem tam, gdzie byłem",Trzeci lub kolejny,Otodom;OLX;Grupy na Facebooku,Ponad 60,2801–3500 zł,Wszystkiego razem z mediami,"Tak, wielokrotnie","Cena wzrosła między ogłoszeniem a rozmową;Czynsz administracyjny, którego nie zauważyłem",4,4,4,5,4,"Ceny sa kosmiczne w Krakowie przez te apartamenty na doby, to jest chore ze nie da sie wynajac normalnie mieszkania bo wszystko poszlo pod turystow",35–44,"Nie, dziękuję"
05.08.2026 13:15,R41,Tak,Wynająłem mieszkanie,Drugi,Otodom;OLX,31–60,2801–3500 zł,Czynszu dla właściciela plus czynsz administracyjny,"Tak, wielokrotnie","Czynsz administracyjny, którego nie zauważyłem;Kaucja wyższa, niż zakładałem",5,4,5,4,3,no na pewno to zeby czynsz byl przy cenie a nie gdzies na dole opisu bo tego sie nie da znalezc na telefonie,25–34,"Tak, wyślij mi szczegóły"
05.08.2026 14:02,R42,Tak,Wciąż szukam,Pierwszy w życiu,Otodom;Grupy na Facebooku,10–30,2001–2800 zł,Wszystkiego razem z mediami,"Tak, raz lub dwa","Czynsz administracyjny, którego nie zauważyłem",4,4,4,4,3,"Wiecej zdjec kuchni i lazienki, zawsze pokazuja tylko salon",Do 24,"Nie, dziękuję"
05.08.2026 15:20,R43,Tak,Wynająłem mieszkanie,Trzeci lub kolejny,Otodom;Strona pośrednika / biura nieruchomości,10–30,Powyżej 4500 zł,Wszystkiego razem z mediami,Nie,,2,2,3,3,2,,45 i więcej,"Nie, dziękuję"
05.08.2026 16:41,R44,Tak,Wciąż szukam,Drugi,Otodom;OLX;Grupy na Facebooku,31–60,2001–2800 zł,Czynszu dla właściciela plus czynsz administracyjny,"Tak, wielokrotnie","Czynsz administracyjny, którego nie zauważyłem;Media wyższe, niż zakładałem",5,4,4,5,4,"no bez przesady z tymi ankietami ale ok, filtr zeby liczyl calosc",Wolę nie podawać,"Nie, dziękuję"
05.08.2026 17:12,R45,Nie,,,,,,,,,,,,,,,,
05.08.2026 18:03,R46,Tak,Wynająłem mieszkanie,Pierwszy w życiu,"Znajomi, ogłoszenia w okolicy;Grupy na Facebooku",Mniej niż 10,2001–2800 zł,Nie zastanawiałem się nad tym w ten sposób,Nie,,3,3,2,3,2,,Do 24,"Nie, dziękuję"
05.08.2026 19:35,R47,Tak,Wciąż szukam,Trzeci lub kolejny,Otodom;OLX,Ponad 60,3501–4500 zł,Wszystkiego razem z mediami,"Tak, wielokrotnie","Czynsz administracyjny, którego nie zauważyłem;Media wyższe, niż zakładałem;Cena wzrosła między ogłoszeniem a rozmową",4,4,5,5,4,"Chciałbym widzieć historię ceny ogłoszenia, tak jak przy lotach.",35–44,"Nie, dziękuję"
